PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
84-242;AP Strzebielino;Strzebielino;Leśna;12/1;Łęczyce;wejherowski;pomorskie
42-286;AP Strzebiń;Strzebiń;Lubliniecka;15B;Koszęcin;lubliniecki;śląskie
39-223;AP Strzegocice;Strzegocice;;103A;Pilzno;dębicki;podkarpackie
06-123;AP Strzegocin;Strzegocin;;82;Świercze;pułtuski;mazowieckie
58-150;UP Strzegom;Strzegom;Tadeusza Kościuszki;12;Strzegom;świdnicki;dolnośląskie
58-150;AP Strzegom;Strzegom;Aleja Wojska Polskiego;74;Strzegom;świdnicki;dolnośląskie
58-150;AP Strzegom;Strzegom;Kasztanowa;2;Strzegom;świdnicki;dolnośląskie
06-445;UP Strzegowo;Strzegowo;Wyzwolenia;25;Strzegowo;mławski;mazowieckie
66-500;UP Strzelce Krajeńskie;Strzelce Krajeńskie;Gorzowska;1;Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie
66-542;FUP Strzelce Krajeńskie;Zwierzyn;Wojska Polskiego;20;Zwierzyn;strzelecko-drezdenecki;lubuskie
66-500;AP Strzelce Krajeńskie;Strzelce Krajeńskie;Juliusza Słowackiego;17;Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie
47-100;AP Strzelce Opolskie;Strzelce Opolskie;Wojska Polskiego;2;Strzelce Opolskie;strzelecki;opolskie
47-100;UP Strzelce Opolskie 1;Strzelce Opolskie;Marka Prawego;18;Strzelce Opolskie;strzelecki;opolskie
47-180;FUP Strzelce Opolskie 1;Izbicko;Gogolińska;6;Izbicko;strzelecki;opolskie
47-133;FUP Strzelce Opolskie 1;Jemielnica;Korfantego;8;Jemielnica;strzelecki;opolskie
47-100;FUP Strzelce Opolskie 1;Strzelce Opolskie;Kardynała Stefana Wyszyńskiego;16;Strzelce Opolskie;strzelecki;opolskie
98-337;UP Strzelce Wielkie k. Pajęczna;Strzelce Wielkie;Częstochowska;14;Strzelce Wielkie;pajęczański;łódzkie
16-326;AP Strzelcowizna;Strzelcowizna;;14;Płaska;augustowski;podlaskie
72-204;AP Strzelewo Szczecińskie;Strzelewo;;11;Nowogard;goleniowski;zachodniopomorskie
57-100;UP Strzelin;Strzelin;Pocztowa;11;Strzelin;strzeliński;dolnośląskie
57-100;FUP Strzelin;Borów;Wrocławska;16;Borów;strzeliński;dolnośląskie
57-100;FUP Strzelin;Prusy;Pocztowa;27;Kondratowice;strzeliński;dolnośląskie
57-100;FUP Strzelin;Przeworno;Pocztowa;15;Przeworno;strzeliński;dolnośląskie
57-100;FUP Strzelin;Wiązów;Pocztowa;1;Wiązów;strzeliński;dolnośląskie
57-100;AP Strzelin;Strzelin;Staromiejska;21;Strzelin;strzeliński;dolnośląskie
57-102;AP Strzelin;Strzelin;Wolności;7;Strzelin;strzeliński;dolnośląskie
88-320;UP Strzelno;Strzelno;św. Ducha;32;Strzelno;mogileński;kujawsko-pomorskie
88-320;FUP Strzelno;Markowice;;31;Strzelno;mogileński;kujawsko-pomorskie
84-222;AP Strzepcz;Strzepcz;ks. Józefa Rotty;16;Linia;wejherowski;pomorskie
23-107;UP Strzyżewice;Strzyżewice;;109;Strzyżewice;lubelski;lubelskie
62-214;AP Strzyżewo Kościelne;Strzyżewo Kościelne;;123;Gniezno;gnieźnieński;wielkopolskie
42-575;UP Strzyżowice k. Będzina;Strzyżowice;Belna;1;Psary;będziński;śląskie
38-100;UP Strzyżów n. Wisłokiem;Strzyżów;Parkowa;7;Strzyżów;strzyżowski;podkarpackie
37-723;UP Stubno;Stubno;;69 A;Stubno;przemyski;podkarpackie
72-405;AP Stuchowo;Stuchowo;;65/3;Świerzno;kamieński;zachodniopomorskie
26-903;AP Studzianki Pancerne;Studzianki Pancerne;;7;Głowaczów;kozienicki;mazowieckie
43-215;AP Studzienice;Studzienice;Kosów;2;Pszczyna;pszczyński;śląskie
27-233;AP Styków;Styków;Świętokrzyska;44;Brody;starachowicki;świętokrzyskie
21-498;AP Styrzyniec;Styrzyniec;Słoneczna;100;Biała Podlaska;bialski;lubelskie
34-200;UP Sucha Beskidzka;Sucha Beskidzka;Adama Mickiewicza;50;Sucha Beskidzka;suski;małopolskie
34-211;FUP Sucha Beskidzka;Budzów;;503;Budzów;suski;małopolskie
34-200;FUP Sucha Beskidzka;Krzeszów;;78;Stryszawa;suski;małopolskie
34-232;FUP Sucha Beskidzka;Lachowice;;181;Stryszawa;suski;małopolskie
34-220;FUP Sucha Beskidzka;Maków Podhalański;Rynek;7;Maków Podhalański;suski;małopolskie
34-200;FUP Sucha Beskidzka;Stryszawa;;736 A;Stryszawa;suski;małopolskie
34-210;FUP Sucha Beskidzka;Zembrzyce;Rynek;158;Zembrzyce;suski;małopolskie
26-130;UP Suchedniów;Suchedniów;Bugaj;1;Suchedniów;skarżyski;świętokrzyskie
26-140;FUP Suchedniów;Łączna;;62;Łączna;skarżyski;świętokrzyskie
26-131;AP Suchedniów;Suchedniów;Powstańców 1863 r.;60;Suchedniów;skarżyski;świętokrzyskie
78-542;AP Suchowo;Suchowo;;36;Kalisz Pomorski;drawski;zachodniopomorskie
16-150;UP Suchowola;Suchowola;Plac Kościuszki;27;Suchowola;sokólski;podlaskie
16-130;FUP Suchowola;Janów;Sokólska;9;Janów;sokólski;podlaskie
16-150;FUP Suchowola;Korycin;Knyszyńska;2;Korycin;sokólski;podlaskie
22-442;AP Suchowola;Suchowola;;214;Adamów;zamojski;lubelskie
08-125;UP Suchożebry;Suchożebry;Aleksandry Ogińskiej;11;Suchożebry;siedlecki;mazowieckie
62-002;UP Suchy Las;Suchy Las;pl. Nowy Rynek;3;Suchy Las;poznański;wielkopolskie
62-003;FUP Suchy Las;Biedrusko;Parkowa;3;Suchy Las;poznański;wielkopolskie
62-002;FUP Suchy Las;Chludowo;Obornicka;1;Suchy Las;poznański;wielkopolskie
62-002;FUP Suchy Las;Złotniki;Plac Grzybowy;14;Suchy Las;poznański;wielkopolskie
32-856;AP Sufczyn;Sufczyn;;480;Dębno;brzeski;małopolskie
66-100;AP Sulechów;Sulechów;os. Zacisze;13;Sulechów;zielonogórski;lubuskie
66-100;UP Sulechów 1;Sulechów;al. Wielkopolska;4;Sulechów;zielonogórski;lubuskie
66-101;FUP Sulechów 1;Sulechów;Mieszka I;4;Sulechów;zielonogórski;lubuskie
66-100;FUP Sulechów 1;Trzebiechów;Sulechowska;1;Trzebiechów;zielonogórski;lubuskie
97-330;UP Sulejów;Sulejów;Konecka;41;Sulejów;piotrkowski;łódzkie
97-332;AP Sulejów;Sulejów;Piotrkowska;55a;Sulejów;piotrkowski;łódzkie
05-072;AP Sulejówek;Sulejówek;Kombatantów II Wojny Światowej;55;Sulejówek;miński;mazowieckie
05-070;UP Sulejówek 1;Sulejówek;Pocztowa;4;Sulejówek;miński;mazowieckie
05-071;UP Sulejówek 3;Sulejówek (Miłosna);3 Maja;5;Sulejówek;miński;mazowieckie
05-079;FUP Sulejówek 3;Okuniew;rynek Rynek;10;Halinów;miński;mazowieckie
69-200;UP Sulęcin;Sulęcin;Jana Kilińskiego;9;Sulęcin;sulęciński;lubuskie
69-210;FUP Sulęcin;Lubniewice;Jana Pawła II;30;Lubniewice;sulęciński;lubuskie
69-211;FUP Sulęcin;Wędrzyn;;1;Sulęcin;sulęciński;lubuskie
69-201;AP Sulęcin;Sulęcin;Poznańska;13A;Sulęcin;sulęciński;lubuskie
63-040;AP Sulęcinek;Sulęcinek;Klonowa;65;Krzykosy;średzki;wielkopolskie
32-341;AP Sulisławice;Sulisławice;;129;Wolbrom;olkuski;małopolskie
27-670;AP Sulisławice;Sulisławice;;124a;Łoniów;sandomierski;świętokrzyskie
55-052;AP Sulistrowice;Sulistrowice;Jagiellońska;7;Sobótka;wrocławski;dolnośląskie
78-500;AP Suliszewo;Suliszewo;;78;Drawsko Pomorskie;drawski;zachodniopomorskie
98-338;UP Sulmierzyce k. Radomska;Sulmierzyce;Urzędowa;1;Sulmierzyce;pajęczański;łódzkie
23-213;AP Sulów;Sulów;;139;Zakrzówek;kraśnicki;lubelskie
32-440;UP Sułkowice;Sułkowice;Zagumnie;70;Sułkowice;myślenicki;małopolskie
32-045;UP Sułoszowa;Sułoszowa;Krakowska;139;Sułoszowa;krakowski;małopolskie
22-448;UP Sułów;Sułów;;143;Sułów;zamojski;lubelskie
56-301;AP Sułów;Sułów;Żmigrodzka;1;Milicz;milicki;dolnośląskie
16-030;UP Supraśl;Supraśl;Cieliczańska;2;Supraśl;białostocki;podlaskie
87-603;AP Suradówek;Suradówek;;25;Wielgie;lipnowski;kujawsko-pomorskie
18-520;AP Surały;Surały;;3;Grabowo;kolneński;podlaskie
22-672;UP Susiec;Susiec;Tomaszowska;100;Susiec;tomaszowski;lubelskie
14-240;UP Susz;Susz;Słowiańska;24;Susz;iławski;warmińsko-mazurskie
22-202;AP Suszno;Suszno;Sezamowa;2;Włodawa;włodawski;lubelskie
16-400;UP Suwałki 1;Suwałki;Generała Kazimierza Pułaskiego;52;Suwałki;Suwałki;podlaskie
16-400;FUP Suwałki 1;Bakałarzewo;Filipowska;2;Bakałarzewo;suwalski;podlaskie
16-400;FUP Suwałki 1;Jeleniewo;Suwalska;49B;Jeleniewo;suwalski;podlaskie
16-427;FUP Suwałki 1;Przerośl;Rynek;26;Przerośl;suwalski;podlaskie
16-420;FUP Suwałki 1;Raczki;Plac Kościuszki;36;Raczki;suwalski;podlaskie
16-400;FUP Suwałki 1;Suwałki;Generała Józefa Dwernickiego;15/206;Suwałki;Suwałki;podlaskie
16-431;FUP Suwałki 1;Suwałki;Klonowa;41A;Suwałki;Suwałki;podlaskie
16-400;FUP Suwałki 1;Suwałki;Teofila Noniewicza;10;Suwałki;Suwałki;podlaskie
16-432;FUP Suwałki 1;skrytki/przegródki;;;Suwałki;Suwałki;podlaskie
16-430;FUP Suwałki 1;Suwałki;Północna;27a;Suwałki;Suwałki;podlaskie
16-400;FUP Suwałki 1;Suwałki;Ludwika Waryńskiego;24;Suwałki;Suwałki;podlaskie
16-400;FUP Suwałki 1;Suwałki;Ludwika Waryńskiego;45;Suwałki;Suwałki;podlaskie
16-401;UP Suwałki 3;Suwałki;Sejneńska;13;Suwałki;Suwałki;podlaskie
16-402;UP Suwałki 4;Suwałki;Tadeusza Kościuszki;25;Suwałki;Suwałki;podlaskie
16-433;UP Suwałki 8;Suwałki;Ludwika Michała Paca;5G;Suwałki;Suwałki;podlaskie
62-020;AP Swarzędz;Swarzędz;Gryniów;9;Swarzędz;poznański;wielkopolskie
62-017;UP Swarzędz 1;Swarzędz;Dworcowa;7;Swarzędz;poznański;wielkopolskie
63-005;FUP Swarzędz 1;Kleszczewo;Poznańska;4/B;Kleszczewo;poznański;wielkopolskie
62-016;FUP Swarzędz 1;Swarzędz;os. Dąbrowszczaków;25;Swarzędz;poznański;wielkopolskie
62-019;FUP Swarzędz 1;Swarzędz;Graniczna;63;Swarzędz;poznański;wielkopolskie
62-018;FUP Swarzędz 1;skrytki/przegródki;;;Swarzędz;poznański;wielkopolskie
62-020;FUP Swarzędz 1;Swarzędz;Piaski;11;Swarzędz;poznański;wielkopolskie
09-303;AP Syberia;Syberia;;45;Lubowidz;żuromiński;mazowieckie
56-500;UP Syców;Syców;Adama Mickiewicza;8;Syców;oleśnicki;dolnośląskie
56-505;FUP Syców;Dziadowa Kłoda;1 Maja;10;Dziadowa Kłoda;oleśnicki;dolnośląskie
56-513;FUP Syców;Międzybórz;Rynek;4;Międzybórz;oleśnicki;dolnośląskie
56-501;AP Syców;Syców;Parkowa;9E;Syców;oleśnicki;dolnośląskie
64-915;AP Sypniewo;Sypniewo;Mickiewicza;57;Jastrowie;złotowski;wielkopolskie
44-361;AP Syrynia;Syrynia;Powstańców Śląskich;49;Lubomia;wodzisławski;śląskie
87-304;AP Szabda;Szabda;;39;Brodnica;brodnicki;kujawsko-pomorskie
38-331;AP Szalowa;Szalowa;;18;Łużna;gorlicki;małopolskie
64-820;AP Szamocin;Szamocin;Rynek;20;Szamocin;chodzieski;wielkopolskie
64-500;UP Szamotuły;Szamotuły;Dworcowa;11;Szamotuły;szamotulski;wielkopolskie
64-500;FUP Szamotuły;Kaźmierz;Szamotulska;22/A;Kaźmierz;szamotulski;wielkopolskie
64-530;FUP Szamotuły;skrytki/przegródki;;;Kaźmierz;szamotulski;wielkopolskie
64-520;FUP Szamotuły;Obrzycko;pl. Lipowy;14;Obrzycko;szamotulski;wielkopolskie
64-500;FUP Szamotuły;Ostroróg;Wroniecka;10;Ostroróg;szamotulski;wielkopolskie
64-500;FUP Szamotuły;Szamotuły;Sportowa;33/A;Szamotuły;szamotulski;wielkopolskie
64-500;AP Szamotuły;Szamotuły;al. Jana Pawła II;3;Szamotuły;szamotulski;wielkopolskie
64-500;AP Szamotuły;Szamotuły;Powstańców Wielkopolskich;17;Szamotuły;szamotulski;wielkopolskie
21-404;AP Szaniawy-Matysy;Szaniawy-Matysy;;42;Trzebieszów;łukowski;lubelskie
28-100;AP Szaniec;Szaniec;;160;Busko-Zdrój;buski;świętokrzyskie
23-225;UP Szastarka;Szastarka;;117;Szastarka;kraśnicki;lubelskie
33-371;AP Szczawnik;Szczawnik;;29 B;Muszyna;nowosądecki;małopolskie
58-310;UP Szczawno-Zdrój;Szczawno-Zdrój;Kolejowa;9;Szczawno-Zdrój;wałbrzyski;dolnośląskie
22-460;UP Szczebrzeszyn;Szczebrzeszyn;Zamojska;13;Szczebrzeszyn;zamojski;lubelskie
71-686;AP Szczecin;Szczecin;Władysława Bandurskiego;95/U2;Szczecin;Szczecin;zachodniopomorskie
71-217;AP Szczecin;Szczecin;Górna;7a;Szczecin;Szczecin;zachodniopomorskie
70-241;AP Szczecin;Szczecin;Mikołaja Kopernika;3-5;Szczecin;Szczecin;zachodniopomorskie
71-073;AP Szczecin;Szczecin;Ku Słońcu;25B;Szczecin;Szczecin;zachodniopomorskie
71-436;AP Szczecin;Szczecin;Niemierzyńska;26B/U1;Szczecin;Szczecin;zachodniopomorskie
71-036;AP Szczecin;Szczecin;Leopolda Okulickiego;46;Szczecin;Szczecin;zachodniopomorskie
71-837;AP Szczecin;Szczecin;Policka;51;Szczecin;Szczecin;zachodniopomorskie
70-491;AP Szczecin;Szczecin;al. Wojska Polskiego;134;Szczecin;Szczecin;zachodniopomorskie
70-405;UP Szczecin 1;Szczecin;Bogurodzicy;1;Szczecin;Szczecin;zachodniopomorskie
70-405;FUP Szczecin 1;Szczecin;al. Niepodległości;43;Szczecin;Szczecin;zachodniopomorskie
70-950;UP Szczecin 2;Szczecin;Dworcowa;20;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Krzysztofa Kolumba;1;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Milczańska;31 F;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;Gabriela Narutowicza;13 E/6;Szczecin;Szczecin;zachodniopomorskie
70-950;FUP Szczecin 2;Szczecin;al. Wyzwolenia;44 A;Szczecin;Szczecin;zachodniopomorskie
70-358;UP Szczecin 3;Szczecin;Pocztowa;5;Szczecin;Szczecin;zachodniopomorskie
70-953;UP Szczecin 3;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-071;FUP Szczecin 3;Szczecin;al. Bohaterów Warszawy;40;Szczecin;Szczecin;zachodniopomorskie
70-334;UP Szczecin 4;Szczecin;al. Piastów;13;Szczecin;Szczecin;zachodniopomorskie
71-507;UP Szczecin 5;Szczecin;al. Wyzwolenia;70;Szczecin;Szczecin;zachodniopomorskie
70-965;UP Szczecin 5;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-456;FUP Szczecin 5;Szczecin;Plac Armii Krajowej;1;Szczecin;Szczecin;zachodniopomorskie
71-545;FUP Szczecin 5;Szczecin;św. Marcina;2;Szczecin;Szczecin;zachodniopomorskie
70-520;FUP Szczecin 5;Szczecin;Jana Matejki;22;Szczecin;Szczecin;zachodniopomorskie
70-520;FUP Szczecin 5;Szczecin;pl. Rodła;8/716;Szczecin;Szczecin;zachodniopomorskie
71-141;UP Szczecin 6;Szczecin;Adama Mickiewicza;120;Szczecin;Szczecin;zachodniopomorskie
70-961;UP Szczecin 6;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-141;FUP Szczecin 6;Szczecin;Joachima Lelewela;8 A;Szczecin;Szczecin;zachodniopomorskie
71-141;FUP Szczecin 6;Szczecin;Waleriana Łukasińskiego;38 C;Szczecin;Szczecin;zachodniopomorskie
71-217;FUP Szczecin 6;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-611;UP Szczecin 8;Szczecin;Stanisława Dubois;9;Szczecin;Szczecin;zachodniopomorskie
70-966;UP Szczecin 8;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-502;FUP Szczecin 8;Szczecin;Wały Chrobrego;4;Szczecin;Szczecin;zachodniopomorskie
71-022;UP Szczecin 10;Szczecin;Krakowska;19;Szczecin;Szczecin;zachodniopomorskie
72-001;FUP Szczecin 10;Kołbaskowo;;16;Kołbaskowo;policki;zachodniopomorskie
72-005;FUP Szczecin 10;Przecław;;58;Kołbaskowo;policki;zachodniopomorskie
71-004;FUP Szczecin 10;Szczecin;Eugeniusza Kwiatkowskiego;1/11;Szczecin;Szczecin;zachodniopomorskie
71-022;FUP Szczecin 10;Szczecin;Antoniego Ledóchowskiego;19;Szczecin;Szczecin;zachodniopomorskie
70-821;UP Szczecin 12;Szczecin;Emilii Gierczak;32;Szczecin;Szczecin;zachodniopomorskie
70-838;FUP Szczecin 12;Szczecin;Goleniowska;27;Szczecin;Szczecin;zachodniopomorskie
70-896;FUP Szczecin 12;Szczecin;os. Kasztanowe;4/c;Szczecin;Szczecin;zachodniopomorskie
70-765;UP Szczecin 18;Szczecin;Batalionów Chłopskich;79;Szczecin;Szczecin;zachodniopomorskie
70-772;FUP Szczecin 18;Szczecin;Andre Citroëna;2;Szczecin;Szczecin;zachodniopomorskie
70-745;FUP Szczecin 18;Szczecin;Metalowa;30;Szczecin;Szczecin;zachodniopomorskie
70-788;FUP Szczecin 18;Szczecin;Seledynowa;20;Szczecin;Szczecin;zachodniopomorskie
71-047;UP Szczecin 26;Szczecin;Hrubieszowska;56;Szczecin;Szczecin;zachodniopomorskie
71-044;UP Szczecin 26;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-688;UP Szczecin 27;Szczecin;Obotrycka;6;Szczecin;Szczecin;zachodniopomorskie
71-831;FUP Szczecin 27;Szczecin;Ogrodnicza;90;Szczecin;Szczecin;zachodniopomorskie
71-787;FUP Szczecin 27;Szczecin;Rostocka;111;Szczecin;Szczecin;zachodniopomorskie
71-831;FUP Szczecin 27;Szczecin;Stołczyńska;149;Szczecin;Szczecin;zachodniopomorskie
71-611;FUP Szczecin 27;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
71-730;FUP Szczecin 27;Szczecin;Strzałowska;46;Szczecin;Szczecin;zachodniopomorskie
71-830;FUP Szczecin 27;Szczecin;Zamknięta;2;Szczecin;Szczecin;zachodniopomorskie
70-428;UP Szczecin 30;Szczecin;pl. Grunwaldzki;1/2;Szczecin;Szczecin;zachodniopomorskie
71-661;UP Szczecin 33;Szczecin;Komuny Paryskiej;40/U4;Szczecin;Szczecin;zachodniopomorskie
70-474;UP Szczecin 34;Szczecin;al. Wojska Polskiego;35;Szczecin;Szczecin;zachodniopomorskie
71-119;UP Szczecin 35;Szczecin;Jodłowa;23 C;Szczecin;Szczecin;zachodniopomorskie
71-119;FUP Szczecin 35;Szczecin;Stanisława Ignacego Witkiewicza;49/U-5;Szczecin;Szczecin;zachodniopomorskie
70-137;UP Szczecin 37;Szczecin;Milczańska;51 A;Szczecin;Szczecin;zachodniopomorskie
70-100;FUP Szczecin 37;Szczecin;Powstańców Śląskich;2/U4;Szczecin;Szczecin;zachodniopomorskie
70-018;FUP Szczecin 37;Szczecin;Włościańska;1;Szczecin;Szczecin;zachodniopomorskie
70-779;UP Szczecin 39;Szczecin;Łubinowa;16;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Bałtycka;38;Szczecin;Szczecin;zachodniopomorskie
70-799;FUP Szczecin 39;Szczecin;Jarosława Iwaszkiewicza;86 B;Szczecin;Szczecin;zachodniopomorskie
70-777;FUP Szczecin 39;Szczecin;Jasna;72U;Szczecin;Szczecin;zachodniopomorskie
70-793;FUP Szczecin 39;Szczecin;Niedźwiedzia;16/U3;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Przyszłości;30;Szczecin;Szczecin;zachodniopomorskie
70-894;FUP Szczecin 39;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-779;FUP Szczecin 39;Szczecin;Swojska;4;Szczecin;Szczecin;zachodniopomorskie
71-449;UP Szczecin 41;Szczecin;Fryderyka Chopina;26;Szczecin;Szczecin;zachodniopomorskie
71-449;FUP Szczecin 41;Szczecin;ks. Jana Dzierżonia;51;Szczecin;Szczecin;zachodniopomorskie
71-449;FUP Szczecin 41;Szczecin;Łucznicza;56b;Szczecin;Szczecin;zachodniopomorskie
71-793;FUP Szczecin 41;Szczecin;Złotowska;90;Szczecin;Szczecin;zachodniopomorskie
71-250;UP Szczecin 43;Szczecin;Władysława Szafera;186;Szczecin;Szczecin;zachodniopomorskie
71-257;FUP Szczecin 43;Szczecin;Sebastiana Klonowica;46A/U3;Szczecin;Szczecin;zachodniopomorskie
71-216;FUP Szczecin 43;Szczecin;Koralowa;86;Szczecin;Szczecin;zachodniopomorskie
71-250;FUP Szczecin 43;Szczecin;Emila Zegadłowicza;12;Szczecin;Szczecin;zachodniopomorskie
71-371;FUP Szczecin 43;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
70-901;PP Szczecin Z101;Szczecin;Dworcowa;20 b;Szczecin;Szczecin;zachodniopomorskie
70-952;PP Szczecin Z101;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie
78-400;UP Szczecinek 1;Szczecinek;Boh. Warszawy;36;Szczecinek;szczecinecki;zachodniopomorskie
78-425;FUP Szczecinek 1;Biały Bór;Słupska;15;Biały Bór;szczecinecki;zachodniopomorskie
78-404;FUP Szczecinek 1;Szczecinek;Karlińska;19;Szczecinek;szczecinecki;zachodniopomorskie
78-400;FUP Szczecinek 1;Szczecinek;Koszalińska;62A;Szczecinek;szczecinecki;zachodniopomorskie
78-403;FUP Szczecinek 1;Szczecinek;Spółdzielcza;8;Szczecinek;szczecinecki;zachodniopomorskie
78-402;FUP Szczecinek 1;Szczecinek;Kardynała Stefana Wyszyńskiego;69;Szczecinek;szczecinecki;zachodniopomorskie
78-401;FUP Szczecinek 1;Szczecinek;Plac Zesłańców Sybiru;1;Szczecinek;szczecinecki;zachodniopomorskie
78-410;UP Szczecinek 2;Szczecinek;Dworcowa;2;Szczecinek;szczecinecki;zachodniopomorskie
46-042;AP Szczedrzyk;Szczedrzyk;1 Maja;9;Ozimek;opolski;opolskie
42-445;UP Szczekociny;Szczekociny;Senatorska;2;Szczekociny;zawierciański;śląskie
18-412;AP Szczepankowo;Szczepankowo;;23;Śniadowo;łomżyński;podlaskie
88-306;AP Szczepanowo;Szczepanowo;Barcińska;1;Dąbrowa;mogileński;kujawsko-pomorskie
55-301;AP Szczepanów;Szczepanów;Boczna;1;Środa Śląska;średzki;dolnośląskie
32-823;AP Szczepanów;Szczepanów;Rynek Szczepanowski;3;Brzesko;brzeski;małopolskie
97-420;UP Szczerców;Szczerców;Żeromskiego;2;Szczerców;bełchatowski;łódzkie
33-230;UP Szczucin;Szczucin;Piłsudskiego;17;Szczucin;dąbrowski;małopolskie
33-220;FUP Szczucin;Bolesław;;175;Bolesław;dąbrowski;małopolskie
33-221;FUP Szczucin;Mędrzechów;;8;Mędrzechów;dąbrowski;małopolskie
19-230;UP Szczuczyn;Szczuczyn;Jana Kilińskiego;61;Szczuczyn;grajewski;podlaskie
19-213;FUP Szczuczyn;Radziłów;pl. 500-lecia;2;Radziłów;grajewski;podlaskie
76-223;AP Szczypkowice;Szczypkowice;;30;Główczyce;słupski;pomorskie
43-370;UP Szczyrk;Szczyrk;Beskidzka;101;Szczyrk;bielski;śląskie
43-370;FUP Szczyrk;Buczkowice;Lipowska;730;Buczkowice;bielski;śląskie
43-374;FUP Szczyrk;skrytki/przegródki;;;Buczkowice;bielski;śląskie
59-727;AP Szczytnica;Szczytnica;;110;Warta Bolesławiecka;bolesławiecki;dolnośląskie
12-102;AP Szczytno;Szczytno;Zbigniewa Sobieszczańskiego;22;Szczytno;szczycieński;warmińsko-mazurskie
12-100;UP Szczytno 1;Szczytno;Polska;22;Szczytno;szczycieński;warmińsko-mazurskie
12-102;FUP Szczytno 1;Szczytno;Tadeusza Kościuszki;17;Szczytno;szczycieński;warmińsko-mazurskie
12-101;FUP Szczytno 1;Szczytno;Solidarności;6;Szczytno;szczycieński;warmińsko-mazurskie
12-140;FUP Szczytno 1;Świętajno;Dworcowa;17;Świętajno;szczycieński;warmińsko-mazurskie
12-160;FUP Szczytno 1;Wielbark;Władysława Jagiełły;1;Wielbark;szczycieński;warmińsko-mazurskie
98-356;AP Szczyty;Szczyty;Wieluńska;30;Działoszyn;pajęczański;łódzkie
38-200;AP Szebnie;Szebnie;;140;Jasło;jasielski;podkarpackie
84-217;UP Szemud;Szemud;Wejherowska;19;Szemud;wejherowski;pomorskie
38-246;UP Szerzyny;Szerzyny;;521;Szerzyny;tarnowski;małopolskie
27-400;AP Szewna;Szewna;Armii Krajowej;1;Bodzechów;ostrowiecki;świętokrzyskie
63-930;AP Szkaradowo;Szkaradowo;;40;Jutrosin;rawicki;wielkopolskie
58-580;UP Szklarska Poręba 1;Szklarska Poręba;Jedności Narodowej;8;Szklarska Poręba;jeleniogórski;dolnośląskie
58-581;FUP Szklarska Poręba 1;Szklarska Poręba;Dworcowa;6;Szklarska Poręba;jeleniogórski;dolnośląskie
63-000;AP Szlachcin;Szlachcin;;33/A;Środa Wielkopolska;średzki;wielkopolskie
83-242;AP Szlachta;Szlachta;3 Maja;30;Osieczna;starogardzki;pomorskie
17-120;AP Szmurły;Szmurły;;56;Brańsk;bielski;podlaskie
37-500;AP Szówsko;Szówsko;Książąt Czartoryskich;29;Wiązownica;jarosławski;podkarpackie
21-012;AP Szpica;Szpica;;101;Puchaczów;łęczyński;lubelskie
67-300;UP Szprotawa;Szprotawa;Plac Komuny Paryskiej;2;Szprotawa;żagański;lubuskie
67-321;FUP Szprotawa;Leszno Górne;Bolesławiecka;7;Szprotawa;żagański;lubuskie
67-320;FUP Szprotawa;Małomice;Jana Pawła II;31;Małomice;żagański;lubuskie
67-311;FUP Szprotawa;Niegosławice;;55;Niegosławice;żagański;lubuskie
82-411;AP Szropy;Szropy;;b/n;Stary Targ;sztumski;pomorskie
16-310;UP Sztabin;Sztabin;Augustowska;60;Sztabin;augustowski;podlaskie
82-400;UP Sztum;Sztum;Mickiewicza;27;Sztum;sztumski;pomorskie
82-400;FUP Sztum;Mikołajki Pomorskie;Dzierzgońska;4;Mikołajki Pomorskie;sztumski;pomorskie
82-420;FUP Sztum;Ryjewo;Lipowa;2;Ryjewo;kwidzyński;pomorskie
82-410;FUP Sztum;Stary Targ;Nowotarska;1;Stary Targ;sztumski;pomorskie
82-401;AP Sztum;Sztum;Mickiewicza;3;Sztum;sztumski;pomorskie
89-200;UP Szubin;Szubin;3 Maja;24;Szubin;nakielski;kujawsko-pomorskie
89-203;FUP Szubin;Rynarzewo;Bydgoska;1;Szubin;nakielski;kujawsko-pomorskie
